Reporting Period,Project Number,City,County,State,Zip Code,Sector,Latitude ,Longitude
43555,4260-23467,Lafargeville,Jefferson,NY,13656,Non-Residential,44.194059,-75.949271
43555,4260-27762,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-27826,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4260-23977,Alexandria,Jefferson,NY,13607,Non-Residential,44.317344,-75.929396
43555,4260-004,Lafargeville,Jefferson,NY,13656,Non-Residential,44.194059,-75.949271
43555,4260-26176,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4535-26938,Belleville,Jefferson,NY,13611,Non-Residential,43.768968,-76.134381
43555,4667-27439,Brownville,Jefferson,NY,13615,Non-Residential,44.005272,-75.983333
43555,4702-34363,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4697-49698,Philadelphia,Jefferson,NY,13673,Non-Residential,44.161636,-75.712864
43555,4702-34353,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-34352,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4697-40957,Cape Vincent,Jefferson,NY,13618,Non-Residential,44.116337,-76.28933
43555,4702-25308,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-28969,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-25309,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-66255,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-25310,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-59492,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-34366,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-34367,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4697-49700,Philadelphia,Jefferson,NY,13673,Non-Residential,44.161636,-75.712864
43555,4702-25313,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-34396,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-34364,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4702-25325,Evans Mills,Jefferson,NY,13637,Non-Residential,44.089747,-75.835048
43555,4704-88479,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,4736-32898,Dexter,Jefferson,NY,13634,Non-Residential,44.009636,-76.077752
43555,5172-61440,Black River,Jefferson,NY,13612,Non-Residential,43.993709,-75.774042
43555,5295-90518,Watertown,Jefferson,NY,13601,Non-Residential,43.977155,-75.916148
43555,5360-82816,Philadelphia,Jefferson,NY,13673,Non-Residential,44.161636,-75.712864
43555,02014-006,Brooklyn,Jefferson,NY,11213,Non-Residential,40.671145,-73.936641
43555,02095-016,Brooklyn,Jefferson,NY,11238,Non-Residential,40.67988,-73.963817
43555,72022,Copenhagen,Lewis,NY,13626,Non-Residential,43.851021,-75.717457
43555,80496,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,96898,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,118616,Croghan,Lewis,NY,13327,Non-Residential,43.944401,-75.295135
43555,178463,Croghan,Lewis,NY,13327,Non-Residential,43.944401,-75.295135
43555,4260-54719,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,4260-60406,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,4260-54720,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,5033-38400,Glenfield,Lewis,NY,13343,Non-Residential,43.7377,-75.3116
43555,5176-98516,Lowville,Lewis,NY,13367,Non-Residential,43.798604,-75.472278
43555,5124-49460,Rochester,Oswego,NY,14623,Non-Residential,43.08631,-77.634942
43555,5212-37949,Rochester,Oswego,NY,14624,Non-Residential,43.128513,-77.729647
43555,01001-00039,Churchville,Oswego,NY,14428,Non-Residential,43.080492,-77.857148
43555,5409-91264,Pittsford,Oswego,NY,14534,Non-Residential,43.062991,-77.51923
43555,5409-90547,Rochester,Oswego,NY,14606,Non-Residential,43.170242,-77.690241
43555,5409-90142,Webster,Oswego,NY,14580,Non-Residential,43.218784,-77.457073
43555,168386,Bronx,Saratoga,NY,10459,Non-Residential,40.824643,-73.892923
43555,168383,Bronx,Saratoga,NY,10459,Non-Residential,40.824643,-73.892923
43555,168418,Bronx,Saratoga,NY,10459,Non-Residential,40.824643,-73.892923
43555,168420,Bronx,Saratoga,NY,10459,Non-Residential,40.824643,-73.892923
43555,170960,New York,Saratoga,NY,10026,Non-Residential,40.802538,-73.953186
43555,173621,Rhinebeck,Saratoga,NY,12572,Non-Residential,41.926022,-73.876762
43555,33493A-1,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,37878-1,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,68186,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,33494A-1,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,50999-1,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,37868-1,Oriskany,Oneida,NY,13424,Non-Residential,43.150818,-75.360631
43555,49801A-1,Camden,Oneida,NY,13316,Non-Residential,43.371679,-75.755941
43555,51000-1,Oneida,Oneida,NY,13421,Non-Residential,43.076187,-75.649101
43555,37879-1,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,69975,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,79631,Camden,Oneida,NY,13316,Non-Residential,43.371679,-75.755941
43555,80474,Boonville,Oneida,NY,13309,Non-Residential,43.478376,-75.339596
43555,83833,Taberg,Oneida,NY,13471,Non-Residential,43.351866,-75.607343
43555,91003,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,90997,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,102830,Westdale,Oneida,NY,13483,Non-Residential,43.401053,-75.817974
43555,105462,Waterville,Oneida,NY,13480,Non-Residential,42.914366,-75.366762
43555,118113,Utica,Oneida,NY,13501,Non-Residential,43.085324,-75.228495
43555,118135,Utica,Oneida,NY,13501,Non-Residential,43.085324,-75.228495
43555,121269,Verona,Oneida,NY,13478,Non-Residential,43.143375,-75.578144
43555,4001-027,Waterville,Oneida,NY,13480,Non-Residential,42.914366,-75.366762
43555,4006-19409,Marcy,Oneida,NY,13403,Non-Residential,43.161302,-75.273947
43555,4021-002,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4116-016,Vernon,Oneida,NY,13476,Non-Residential,43.08415,-75.514002
43555,4158-103,Oriskany,Oneida,NY,13424,Non-Residential,43.150818,-75.360631
43555,4247-59951,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4304-002,Utica,Oneida,NY,13502,Non-Residential,43.125063,-75.202584
43555,4304-21813,Holland Patent,Oneida,NY,13354,Non-Residential,43.258381,-75.263445
43555,4304-19930,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4304-21768,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4611-25718,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4369-26772,New Hartford,Oneida,NY,13413,Non-Residential,43.066343,-75.287002
43555,4362-38150,New Hartford,Oneida,NY,13413,Non-Residential,43.066343,-75.287002
43555,4464-37788,Camden,Oneida,NY,13316,Non-Residential,43.371679,-75.755941
43555,4521-86240,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-32874,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-32875,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-30640,Westmoreland,Oneida,NY,13490,Non-Residential,43.10884,-75.423079
43555,4611-22435,Utica,Oneida,NY,13502,Non-Residential,43.125063,-75.202584
43555,4611-30770,Whitesboro,Oneida,NY,13492,Non-Residential,43.11737,-75.321355
43555,4611-29286,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4611-24129,Utica,Oneida,NY,13501,Non-Residential,43.085324,-75.228495
43555,4611-31790,Holland Patent,Oneida,NY,13354,Non-Residential,43.258381,-75.263445
43555,4611-21986,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-24597,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-24234,Utica,Oneida,NY,13501,Non-Residential,43.085324,-75.228495
43555,4611-69114,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4611-90701,Yorkville,Oneida,NY,13495,Non-Residential,43.111605,-75.278427
43555,4611-64583,New Hartford,Oneida,NY,13413,Non-Residential,43.066343,-75.287002
43555,4611-91570,Yorkville,Oneida,NY,13495,Non-Residential,43.111605,-75.278427
43555,4611-65130,Westmoreland,Oneida,NY,13490,Non-Residential,43.10884,-75.423079
43555,4611-65016,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4659-24647,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4702-34398,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4697-29820,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4702-34354,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4702-34399,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4702-25311,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4702-25312,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,4702-098052,Clinton,Oneida,NY,13323,Non-Residential,43.049079,-75.380619
43555,4704-85603,Utica,Oneida,NY,13501,Non-Residential,43.085324,-75.228495
43555,5121-65713-GJC,Blossvale,Oneida,NY,13308,Non-Residential,43.246264,-75.67394
43555,5295-92877,Rome,Oneida,NY,13440,Non-Residential,43.214717,-75.454665
43555,5366-98133,Barneveld,Oneida,NY,13304,Non-Residential,43.241398,-75.16936
43555,75832,Brewerton,Oneida,NY,13029,Non-Residential,43.223906,-76.139362
43555,97273,Syracuse,Oneida,NY,13215,Non-Residential,42.987251,-76.220062
43555,4611-55786,Syracuse,Oneida,NY,13210,Non-Residential,43.034152,-76.126551
43555,4116-20263,Syracuse,Oneida,NY,13214,Non-Residential,43.040484,-76.074122
43555,4880-32769,Skaneateles,Oneida,NY,13152,Non-Residential,42.894504,-76.384987
43555,02149-006,Parish,Oswego,NY,13131,Non-Residential,43.416461,-76.098964
